user_id,user_clothe,ranking_clothe,clothe_type,year,month,rank,similarity
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,11988780B_16_D_215.jpg,Tops,2016,6,2,0.726138921
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,12191713_1_D_215.jpg,Tops,2016,6,2,0.487194875
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,11369848B_160_D_215.jpg,Tops,2016,6,3,0.452179218
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,11435840B_18_D_215.jpg,Tops,2016,6,3,0.487122249
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,12262126B_14_D_215.jpg,Tops,2016,6,4,0.466288676
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,12063825_1_D_215.jpg,Tops,2016,6,4,0.467213142
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,20160610143809086_215.jpg,Tops,2016,6,4,0.682280801
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,8241971_34_D_215.jpg,Tops,2016,6,5,0.515515127
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,6694458B_20_D_215.jpg,Tops,2016,6,7,0.517446976
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,7981462B_22_D_215.jpg,Tops,2016,6,7,0.770087977
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,10585970_1_D_215.jpg,Tops,2016,6,8,0.607237134
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,20160424200343204_215.jpg,Tops,2016,6,8,0.374279565
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,20160507110105497_215.jpg,Tops,2016,6,9,0.22175431
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,10328510B_18_D_215.jpg,Tops,2016,6,10,0.570707987
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,6728181_8_D_215.jpg,Tops,2016,6,11,0.755252777
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,11926807_21_D_215.jpg,Tops,2016,6,13,0.581471969
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,7115519B_1_D_215.jpg,Tops,2016,6,13,0.498632502
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,11200749B_14_D_215.jpg,Tops,2016,6,14,0.455645201
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,10229514_35_D_215.jpg,Tops,2016,6,15,0.913031214
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,20160604142631418_215.jpg,Tops,2016,6,17,0.512667999
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,20160604142742909_215.jpg,Tops,2016,6,17,0.644582033
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,12426485_21_D_215.jpg,Tops,2016,6,18,0.478009523
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,20160612222239021_215.jpg,Tops,2016,6,18,0.579668575
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,20160602171707483_215.jpg,Tops,2016,6,19,0.661217014
U4fce6cc2cc3530ae2f4b7ca0609edd40,afjeaojfeifensmlmv.jpg,10192577B_38_D_215.jpg,Tops,2016,6,20,0.737679576
